,name,email,country,gender,avg_rating,long_tailed,target
56,Hernandez,marie21@tiscali.fr,France,F,5,14.122251783144629,1
57,Chauvin,simonrobert@tele2.fr,United Kingdom,F,0,45.579889904166514,0
58,Ferreira,gregoire85@yahoo.fr,United Kingdom,F,4,44.09418710597461,0
59,Meyer,claude00@gmail.com,France,F,0,12.59853960990252,1
60,Leclerc,frederique55@gmail.com,Belgium,F,0,10.941656996504006,0
61,Bouvet,pmendes@tele2.fr,United Kingdom,M,1,4.202290550590166,0
62,Riou,iguichard@free.fr,United Kingdom,F,1,62.79989450652214,0
63,Guillaume,scoste@voila.fr,United Kingdom,F,3,10.83556811373499,0
64,Dos Santos,richardle-roux@dbmail.com,United Kingdom,Not Specified,0,3.01634814317767,0
65,Tessier,maillotrenee@gmail.com,France,M,2,27.790254785943443,0
66,Dupont,isaac29@club-internet.fr,France,F,4,7.843196419054289,0
67,Alves,ilevy@club-internet.fr,United Kingdom,F,0,50.88633034207313,0
68,Noël,pfoucher@gmail.com,France,F,2,8.905203250521893,0
69,Le Gall,dorotheechauveau@hotmail.fr,United Kingdom,M,2,4.63471946667774,0
70,Hernandez,tboulanger@noos.fr,United Kingdom,F,0,69.33993334692643,0
71,Nicolas,guilbertchristine@tiscali.fr,United Kingdom,M,3,3.3709550884539,0
72,Marques,gerard71@tiscali.fr,France,F,0,2.897128848001372,0
73,Launay,hernandezxavier@laposte.net,Belgium,F,0,24.258779589620133,0
74,Brun,friou@hotmail.fr,France,M,0,34.81774473295552,0
75,Clément,oceanelouis@gmail.com,United Kingdom,M,5,163.41300325677042,0
76,Collin,perrinanais@wanadoo.fr,Belgium,Not Specified,0,27.069259507751084,0
77,Charpentier,ycamus@sfr.fr,United Kingdom,F,2,25.474286659267268,0
78,Briand,tessiermatthieu@bouygtel.fr,United Kingdom,M,3,7.01503728551126,0
79,Mary,auroreolivier@live.com,Belgium,F,0,9.440923006612849,1
80,Noël,boutinantoine@wanadoo.fr,United Kingdom,F,5,13.471158204631742,0
81,Sauvage,georgesmahe@ifrance.com,France,M,0,29.080152239496883,0
82,Boucher,lucydupont@sfr.fr,United Kingdom,F,0,17.291547233635622,0
83,Ferrand,francoisphilippe@tele2.fr,United Kingdom,F,1,7.280559069753271,0
84,Hoareau,emilie21@tiscali.fr,United Kingdom,F,0,6.50892421389562,0
85,Caron,rdiaz@noos.fr,Belgium,F,1,9.67284279505044,0
86,Dijoux,upotier@tiscali.fr,France,M,0,11.318698339354713,0
87,Didier,elodiebourdon@orange.fr,France,Not Specified,0,13.685307528162143,0
88,Petit,maryse55@gmail.com,France,F,0,17.155742956692293,1
89,Hardy,pierremarion@laposte.net,Belgium,F,4,191.85185723310627,0
90,Gillet,michelle71@hotmail.fr,Belgium,F,0,24.966265772136346,0
91,Blondel,francoismaurice@laposte.net,France,F,4,161.48975285706237,0
92,Fournier,alexandre75@free.fr,France,F,4,10.09623305039892,0
93,Gérard,gguichard@ifrance.com,United Kingdom,F,2,5.965080774735438,0
94,Laporte,baudryeric@wanadoo.fr,France,Not Specified,0,42.74315139726064,0
95,Thierry,letellieraurelie@sfr.fr,United Kingdom,F,0,6.952554481415517,0
96,Charpentier,yleduc@ifrance.com,Belgium,F,0,16.520182188937813,0
97,Raynaud,claudelefebvre@voila.fr,France,F,3,5.671221699415575,0
98,Traore,thibautguillou@bouygtel.fr,France,F,4,19.77301023566917,0
99,Le Roux,teixeiraremy@club-internet.fr,United Kingdom,F,0,23.59248356511332,0
100,Leleu,zjacob@ifrance.com,United Kingdom,F,0,3.5773212940132573,0
101,Bonnet,lucyrodriguez@orange.fr,United Kingdom,M,1,28.767595247240187,1
102,Renault,bertrand07@noos.fr,United Kingdom,F,0,20.87663418199269,0
103,Blanchard,tmarion@hotmail.fr,United Kingdom,F,3,3.8316092998847693,0
104,Maillet,suzannebenard@noos.fr,Belgium,Not Specified,0,15.04943368508212,0
105,Da Silva,dcollin@gmail.com,Belgium,F,3,39.70429260467602,0
106,Roussel,jmerle@voila.fr,United Kingdom,Not Specified,4,60.52190243603591,0
107,David,louisebreton@yahoo.fr,France,F,0,81.87365838942641,0
108,Bonnin,leon67@yahoo.fr,Belgium,M,0,21.11985028098941,0
109,Lopez,obonneau@dbmail.com,France,F,0,13.314080765273484,0
110,Gilles,normandmichele@club-internet.fr,France,M,0,24.390815416685825,0
111,Rodriguez,vcousin@yahoo.fr,France,F,0,7.6331652481843975,0
112,Paul,augustemichaud@tele2.fr,United Kingdom,F,1,50.88179062324503,0
113,Guichard,cecilehamon@hotmail.fr,United Kingdom,M,5,35.953433648916274,0
114,Bertrand,valleepierre@voila.fr,France,F,2,17.36041730772467,0
115,Dijoux,michelmorin@wanadoo.fr,United Kingdom,F,4,16.13330145014033,0
116,Rocher,tguillou@yahoo.fr,United Kingdom,F,2,43.386091862086786,0
117,Rodrigues,bmoreno@hotmail.fr,United Kingdom,F,5,2.2135405079042623,0
118,Duval,gandre@noos.fr,United Kingdom,M,0,29.593949403782965,0
119,Becker,nathmartinez@tele2.fr,Belgium,F,0,4.200989596528163,0
120,Perret,fmartinez@dbmail.com,Belgium,M,0,4.616794298599915,0
121,Mace,edouard51@yahoo.fr,Belgium,F,0,75.99920448624245,0
122,Pelletier,barreadele@free.fr,Belgium,F,2,2.9866811632512693,1
123,Dubois,theresepoulain@hotmail.fr,France,F,2,26.630157838629653,0
124,Godard,marcbernard@sfr.fr,France,M,0,12.946305763203666,0
125,Delmas,letellieraime@club-internet.fr,Belgium,F,2,24.07895997781508,0
126,Tessier,texiernicolas@laposte.net,Belgium,F,0,22.78958773213992,0
127,Lemoine,emarie@live.com,France,F,2,19.22806440260414,0
128,Neveu,gilles03@live.com,France,F,5,75.12375920414294,0
129,Daniel,sklein@dbmail.com,France,M,1,8.311010329575387,1
130,Gonzalez,henryelisabeth@club-internet.fr,Belgium,M,0,13.297848549127679,0
131,Barbier,icaron@orange.fr,Belgium,Not Specified,0,10.751478480989894,0
132,Gomes,noelfaivre@free.fr,France,Not Specified,5,22.75900503489655,0
133,Klein,astrid02@voila.fr,France,M,3,11.232246786665229,0
134,Carlier,boutindavid@laposte.net,Belgium,F,0,297.7410212840928,0
135,De Oliveira,emmanuelle62@noos.fr,France,Not Specified,4,18.654274839146442,0
136,Léger,emile37@live.com,France,M,0,19.04998311954621,0
137,Diaz,malletanouk@voila.fr,Belgium,F,0,28.02244347847628,0
138,Delattre,brigitte35@club-internet.fr,Belgium,F,0,49.16884901585872,0
139,Georges,gonzalezstephanie@yahoo.fr,Belgium,F,2,79.43698504357263,0
140,Baron,pascaljulie@laposte.net,France,F,0,50.13725894907484,0
141,Boutin,lalexandre@noos.fr,United Kingdom,F,0,12.12933897976224,0
142,Lesage,paulde-sousa@dbmail.com,France,F,0,18.23620839564707,0
143,Barbe,adriennepinto@hotmail.fr,Belgium,M,1,20.780653261314622,0
144,Guillet,theodoremartin@tele2.fr,France,F,0,20.384187512857103,0
145,Maurice,nrobert@club-internet.fr,France,F,0,13.584771475573545,0
146,Noël,emilie92@noos.fr,United Kingdom,M,0,16.397078180518353,0
147,Munoz,rmorin@tiscali.fr,France,Not Specified,4,17.995418913354616,0
148,Samson,emilieledoux@ifrance.com,France,M,0,2.3678506635228374,0
149,Guyot,mathieurichard@gmail.com,Belgium,F,0,29.992192531207454,0
150,Martin,anastasie89@ifrance.com,France,F,2,5.675294783225199,0
151,Hebert,letellierphilippe@live.com,France,F,0,197.0627047211475,0
152,Jacquet,jeannineclement@gmail.com,Belgium,M,1,9.688652363002493,0
153,Guérin,thibault85@yahoo.fr,United Kingdom,Not Specified,1,24.44821973336926,0
154,Laporte,paulettegoncalves@hotmail.fr,Belgium,F,0,22.864550580697884,0
155,Legros,roland82@wanadoo.fr,Belgium,M,0,25.910666221009617,0
156,Techer,elisabethduval@noos.fr,United Kingdom,F,0,44.28770721556328,0
157,Couturier,xtraore@bouygtel.fr,France,F,4,127.21275073155914,0
158,Klein,kguichard@laposte.net,United Kingdom,F,0,11.5385127323518,0
159,Barbier,greniergeorges@ifrance.com,France,F,0,12.545503842744099,0
160,Maréchal,jjoly@club-internet.fr,Belgium,M,0,28.553516850828988,0
161,Monnier,abernier@sfr.fr,United Kingdom,F,0,29.34832672382396,0
162,Martel,glemonnier@dbmail.com,United Kingdom,M,1,35.034880724622234,0
163,Teixeira,heberttheophile@laposte.net,Belgium,Not Specified,0,4.654477607968447,0
164,Vallet,nroux@sfr.fr,United Kingdom,M,0,60.50672739603057,0
165,Michel,charlotte60@wanadoo.fr,France,Not Specified,0,56.72855966753387,0
166,Mercier,torresnicole@ifrance.com,United Kingdom,F,2,8.61402791822295,0
167,Robert,augustin19@voila.fr,France,M,0,18.394095010274192,0
168,Dupuy,nathalie32@club-internet.fr,Belgium,F,2,15.990701388551567,0
169,Aubert,gayceline@dbmail.com,France,M,5,15.73628771181461,0
170,Jacob,vincentde-oliveira@noos.fr,United Kingdom,F,0,71.05610347400001,0
171,Caron,jneveu@wanadoo.fr,France,F,4,8.35042274094848,0
172,Gomes,marclemoine@tele2.fr,Belgium,M,1,72.87414389934118,0
173,Lévêque,zlaunay@tiscali.fr,France,F,4,16.914053161517643,0
174,Perrier,stephaniepierre@tele2.fr,France,F,3,24.78859495313058,0
175,Martins,chevallierarthur@orange.fr,Belgium,F,5,18.849304980093358,0
176,Couturier,lemoineaimee@gmail.com,Belgium,F,0,34.97548052241305,0
177,Bernier,nicolasbourdon@club-internet.fr,France,F,0,16.795021673162353,0
178,Raymond,fischerdenise@club-internet.fr,Belgium,M,0,72.569812050328,0
179,Pires,antoinette70@wanadoo.fr,United Kingdom,F,0,39.61247745276162,0
180,Chartier,dblin@tiscali.fr,Belgium,F,0,1.9795522692761516,0
181,Adam,vfabre@bouygtel.fr,United Kingdom,F,3,29.66771432198218,0
182,Dupont,rouxisaac@live.com,France,Not Specified,0,17.892022909861325,0
183,Bernard,marcelle02@hotmail.fr,France,F,0,14.864373429557093,0
184,Gilbert,juliechauvin@orange.fr,France,F,0,28.09373326081097,0
185,De Sousa,yvesraynaud@yahoo.fr,United Kingdom,M,4,38.900278019184114,0
186,Seguin,julientristan@tele2.fr,France,Not Specified,2,9.32679344406874,0
187,Germain,antoine80@sfr.fr,United Kingdom,M,0,33.59654265224817,0
188,Tessier,lacroixedith@live.com,United Kingdom,F,5,37.83184485704822,0
189,Roche,philippemaillet@club-internet.fr,United Kingdom,F,5,22.316925799867587,0
190,Langlois,eadam@live.com,United Kingdom,F,0,40.12375444175246,0
191,Mendès,benjaminschneider@hotmail.fr,France,F,3,5.724295960139545,0
192,Petit,ucosta@tele2.fr,Belgium,Not Specified,0,62.02812290139232,0
193,Rousseau,dteixeira@tele2.fr,France,F,0,20.90598157059768,0
194,Lemaire,faureolivier@yahoo.fr,United Kingdom,F,0,38.811848366111455,0
195,Salmon,antoinettebenoit@tele2.fr,United Kingdom,M,0,51.493912044200115,0
196,Raymond,launaygabrielle@ifrance.com,Belgium,F,1,35.30443293936869,0
197,Fournier,paulcamus@orange.fr,United Kingdom,F,0,5.559163804108222,1
198,Rodriguez,adrienne56@yahoo.fr,France,F,0,28.674424542655913,0
199,Pascal,juliette83@club-internet.fr,Belgium,F,0,35.69004691835652,0
200,Merle,mbuisson@tele2.fr,France,F,0,43.497124701867904,0
201,Regnier,richard30@yahoo.fr,France,F,1,3.8129444374069963,0
202,Bonneau,giraudnath@noos.fr,Belgium,F,2,2.788402306224874,0
203,Menard,rolandguyon@voila.fr,Belgium,F,0,4.513602183943956,0
204,Traore,hgirard@ifrance.com,Belgium,M,0,19.578291061048095,0
205,Imbert,georges95@orange.fr,France,F,0,11.257969756266602,0
206,Parent,matthieu31@wanadoo.fr,United Kingdom,F,1,12.046792326908967,0
207,Le Gall,nicolas57@club-internet.fr,United Kingdom,M,0,14.185097371376646,0
208,Guillon,guillaumegarcia@wanadoo.fr,France,F,0,18.954280652661936,0
209,Millet,isabelle02@ifrance.com,Belgium,M,0,4.159741818012379,0
210,Meyer,daniellegarnier@laposte.net,United Kingdom,F,0,9.413352307035641,0
211,Salmon,sabinebecker@tiscali.fr,France,M,0,19.104347094272338,0
212,Colas,noelperon@laposte.net,Belgium,M,0,6.3748836951940255,0
213,Rey,mbenard@laposte.net,United Kingdom,F,0,21.817078691555317,0
214,Lombard,nnicolas@voila.fr,France,F,0,19.867100424890197,0
215,Laine,claudine74@voila.fr,United Kingdom,M,0,14.477194410050421,0
216,Vasseur,margaudcosta@tiscali.fr,France,F,0,41.82299700104828,0
217,Morvan,maryse14@laposte.net,Belgium,F,0,6.883289794951197,0
218,Texier,mfischer@dbmail.com,France,M,0,18.226787635537743,0
219,Klein,nlopez@gmail.com,France,M,0,24.373064983160983,0
220,Gomes,zachariebesnard@orange.fr,Belgium,F,1,79.12184501894559,0
221,Bertin,marguerite24@voila.fr,United Kingdom,F,2,12.063166968495349,0
222,Hamon,foucherlouise@laposte.net,United Kingdom,Not Specified,0,30.951877689557236,1
223,Benard,marinlorraine@gmail.com,France,F,0,11.99235384575055,0
224,Laurent,benjaminrichard@orange.fr,United Kingdom,Not Specified,2,3.3174581894998347,0
225,Guibert,daniel05@noos.fr,United Kingdom,M,4,31.905860357364904,0
226,Dufour,carolinegay@laposte.net,Belgium,F,0,1.5177111339581457,0
227,Pelletier,joseph56@ifrance.com,United Kingdom,M,0,6.334745481124908,0
228,Petit,iaubry@tele2.fr,Belgium,M,1,24.991115539059393,0
229,Thierry,morenogerard@noos.fr,France,M,0,74.7959783853427,0
230,Perrier,adriencharrier@laposte.net,France,F,0,74.26362753488225,0
231,Loiseau,edouardboulanger@orange.fr,Belgium,Not Specified,0,10.404460061648956,0
232,Schmitt,alphonseroy@free.fr,United Kingdom,M,0,2.285320765456531,0
233,Wagner,launayjosephine@yahoo.fr,United Kingdom,F,0,6.307330282890287,0
234,Legendre,jlacombe@gmail.com,Belgium,M,0,9.368095427206526,0
235,Fleury,susan60@gmail.com,France,M,2,9.892602183920669,0
236,Mahe,pelletierstephane@laposte.net,France,F,5,25.50656082546469,0
237,Albert,corinnehamon@free.fr,France,M,3,7.747916844391681,0
238,Guyon,rmarques@tiscali.fr,Belgium,Not Specified,0,14.905178474942552,0
239,Carlier,langloiseleonore@club-internet.fr,Belgium,F,5,1.7774036725958666,0
240,Dias,xfontaine@bouygtel.fr,United Kingdom,Not Specified,0,29.007223814604142,0
241,Torres,pineauanastasie@yahoo.fr,France,F,4,24.29599586604791,0
242,Antoine,clemence00@bouygtel.fr,United Kingdom,F,5,25.362427469557193,0
243,Rousset,adammaggie@club-internet.fr,France,F,0,26.329365068529306,0
244,Torres,pauletteevrard@wanadoo.fr,Belgium,F,3,12.95127442052556,0
245,Leblanc,ndeschamps@yahoo.fr,France,F,4,9.140718607531674,0
246,Moreno,susan39@live.com,Belgium,F,4,21.012847059967655,0
247,Goncalves,vincentletellier@voila.fr,United Kingdom,F,0,208.43449224984082,1
248,Mary,morenohonore@live.com,Belgium,Not Specified,5,15.45574586664881,0
249,Étienne,lorraine45@tiscali.fr,Belgium,F,0,4.0486768204028785,0
250,Antoine,apicard@laposte.net,United Kingdom,M,3,13.706865209999526,0
251,Colas,pichongilbert@dbmail.com,United Kingdom,F,2,22.251983094862613,0
252,Petit,qchartier@bouygtel.fr,United Kingdom,Not Specified,0,28.9580661273373,0
253,Letellier,danieldias@noos.fr,France,Not Specified,0,73.5396904781792,0
254,Lopes,eleonoreroy@hotmail.fr,Belgium,F,5,8.15764750503045,0
255,Delmas,inesmasson@wanadoo.fr,France,F,0,49.7731158702409,0
256,Lefort,bfaivre@bouygtel.fr,United Kingdom,F,5,5.585558910922173,0
257,Langlois,alexandre64@bouygtel.fr,United Kingdom,F,0,41.441520026422374,0
258,Tanguy,zacharie36@laposte.net,Belgium,M,0,6.987677243718317,0
259,Robert,sabinepeltier@ifrance.com,United Kingdom,M,0,28.984693039902698,0
260,Alves,jda-silva@noos.fr,United Kingdom,M,0,13.74170666537376,0
261,Bousquet,alfredetienne@wanadoo.fr,Belgium,F,0,17.405334956514587,0
262,Leroux,louisemonnier@tiscali.fr,United Kingdom,M,4,7.862619092789829,1
263,Moreau,henrietteguillot@bouygtel.fr,Belgium,F,5,30.97275518792601,0
264,Gonzalez,kgarnier@tele2.fr,Belgium,F,5,9.030227857117675,0
265,Gomez,zgregoire@yahoo.fr,Belgium,M,0,25.55383772169878,0
266,Roche,brigittefrancois@noos.fr,United Kingdom,M,0,42.09785234702634,0
267,Couturier,qmaillard@noos.fr,United Kingdom,F,0,38.74352818602849,0
268,Boulay,juliette51@club-internet.fr,France,F,4,34.49359260864493,1
269,Martinez,wdubois@bouygtel.fr,Belgium,F,0,3.2606363301108767,0
270,Renaud,bcollin@ifrance.com,Belgium,F,0,7.949355552773861,0
271,Grenier,guillonchantal@live.com,United Kingdom,M,0,8.363203554876998,0
272,Colas,genevievelacombe@bouygtel.fr,United Kingdom,M,0,111.30845500990819,0
273,Millet,chauvinchristelle@wanadoo.fr,Belgium,F,4,9.096456839758083,0
274,Dufour,fauregenevieve@live.com,France,F,3,55.20431285576955,0
275,Alves,mullerlaurent@yahoo.fr,France,M,3,21.38797801858039,0
276,Leconte,ubertrand@voila.fr,France,F,0,37.77146995188494,0
277,Gomes,wmarchand@bouygtel.fr,France,M,1,43.98030014553602,0
278,Cordier,jeanninecaron@ifrance.com,United Kingdom,M,0,3.3507607282262195,0
279,Schneider,goncalvesgilbert@laposte.net,United Kingdom,F,1,3.2554558757663505,0
280,Leduc,chauveauvalentine@wanadoo.fr,United Kingdom,F,0,3.071918503095291,1
281,Bertrand,warnaud@hotmail.fr,United Kingdom,F,3,35.845508612673115,0
282,Faure,sylvieaubry@sfr.fr,Belgium,F,0,6.135573869233962,0
283,Bertin,martine44@wanadoo.fr,United Kingdom,Not Specified,0,11.77788356465554,0
284,Pineau,oliviepons@laposte.net,Belgium,M,0,48.296748354903826,0
285,Morel,lucyblanchet@gmail.com,France,M,0,9.43929837000664,0
286,Boulay,therese13@tele2.fr,Belgium,M,0,10.327922441294398,0
287,Bourdon,suzannealbert@wanadoo.fr,France,F,0,17.353851541518257,0
288,Leroux,marcelle27@gmail.com,France,Not Specified,0,49.27807188486851,0
289,Devaux,paulzacharie@voila.fr,Belgium,F,0,20.644202558399176,0
290,Becker,duvalaurelie@live.com,Belgium,F,0,21.571604069684813,0
291,Colas,ydaniel@wanadoo.fr,Belgium,F,3,2.831958682113106,0
292,Étienne,dufourtimothee@voila.fr,France,F,5,40.61392638260463,0
293,Vidal,alfredmarques@sfr.fr,France,M,0,4.501094024316332,0
294,Bertrand,dimbert@club-internet.fr,France,Not Specified,0,34.95615493658248,0
295,Perrier,brunelpauline@free.fr,United Kingdom,Not Specified,3,38.620602665720504,0
296,Pelletier,lejeunebernard@tele2.fr,Belgium,M,2,50.59215679936508,0
297,Monnier,margot49@tele2.fr,Belgium,F,0,17.591784184318318,0
298,Pasquier,antoinede-sousa@bouygtel.fr,Belgium,M,1,117.53242299670124,0
299,Aubert,wandre@yahoo.fr,France,Not Specified,1,14.185477489669433,0
300,Denis,martyalphonse@free.fr,Belgium,M,2,47.14202768885146,0
301,Antoine,bretoncecile@tiscali.fr,France,M,0,7.676229162799048,0
302,Ollivier,rouxelise@ifrance.com,France,F,0,28.595906497667023,0
303,Charles,jourdandiane@yahoo.fr,Belgium,F,1,18.507945339489716,1
304,Faure,agathe17@gmail.com,United Kingdom,Not Specified,2,65.0063934416588,0
305,Brunet,auguste06@dbmail.com,United Kingdom,F,3,27.688089271976455,0
306,Barbier,isaacroger@free.fr,France,F,3,20.150075964927193,0
307,Riou,laurenceboulanger@voila.fr,France,Not Specified,0,8.190226273576215,0
308,Guillet,obertrand@orange.fr,United Kingdom,F,0,55.723490744262996,0
309,Bousquet,vincent23@live.com,France,Not Specified,3,40.97265264343616,0
310,Jean,astridbarthelemy@live.com,France,F,2,10.062787163223403,0
311,Moreno,alicemoreno@voila.fr,Belgium,F,0,14.622711326265165,0
312,Goncalves,torresamelie@free.fr,Belgium,F,5,15.228626899500453,0
313,Gérard,laurentvalentine@dbmail.com,United Kingdom,F,5,61.80011996323551,0
314,Gros,morelbenoit@yahoo.fr,France,M,0,13.39113000019113,0
315,Baudry,reneebrunet@ifrance.com,France,F,0,20.027549493994776,0
316,Michel,knguyen@dbmail.com,Belgium,F,3,2.0653539028360677,0
317,Mendès,guillaumemarchal@wanadoo.fr,France,F,4,26.18077377664423,0
318,Fabre,ilegrand@noos.fr,France,F,3,31.234835957375836,1
319,Moreno,etienne66@orange.fr,Belgium,M,0,41.04151792612143,0
320,Georges,zjean@orange.fr,France,M,3,12.837098777688572,0
321,Imbert,lchauvin@hotmail.fr,France,F,0,62.30417370909989,0
322,Fleury,edith58@voila.fr,Belgium,Not Specified,0,17.07783719514138,0
323,Texier,rgomez@gmail.com,United Kingdom,Not Specified,0,43.35535296958717,0
324,Bourdon,susanne61@gmail.com,Belgium,M,3,41.8417060552934,0
325,Meunier,xmichel@noos.fr,France,F,1,47.83792955892434,0
326,Foucher,glesage@tele2.fr,United Kingdom,M,0,17.603986960791687,0
327,Texier,krenard@dbmail.com,Belgium,F,3,17.000550463164284,0
328,Reynaud,lleroux@club-internet.fr,United Kingdom,Not Specified,2,31.025453794839855,0
329,Ledoux,tessieradelaide@laposte.net,United Kingdom,M,0,34.470175107907984,0
330,Techer,pauline78@gmail.com,France,F,0,39.04457605476397,0
331,Pierre,joseph95@club-internet.fr,France,Not Specified,3,21.28683658182994,0
332,Gillet,kleinfrancoise@noos.fr,Belgium,F,0,35.610411342360976,0
333,Fontaine,yroyer@sfr.fr,Belgium,F,4,23.11370910762176,0
334,Perrot,gillesmasson@live.com,Belgium,F,5,19.41235653740142,0
335,Gaillard,perrethortense@ifrance.com,Belgium,F,0,8.03163742886239,0
336,Barthelemy,clercmathilde@hotmail.fr,Belgium,Not Specified,2,19.209715796519433,0
337,Merle,udevaux@laposte.net,Belgium,M,0,88.83237052603342,0
338,Roy,marcgaillard@orange.fr,France,M,0,28.12828945976634,0
339,Martinez,thereseteixeira@live.com,France,F,5,4.197317260232733,0
340,Ferrand,michelle51@noos.fr,Belgium,F,0,9.304563728011596,0
341,Leleu,hugues58@dbmail.com,France,F,1,45.0954498944712,0
342,Rossi,alexandriarousset@club-internet.fr,Belgium,F,0,23.55293564126752,0
343,Huet,yperrot@tiscali.fr,France,F,5,2.833325315111363,0
344,Gros,anouk61@laposte.net,Belgium,F,0,62.551358171209564,0
345,Caron,guillonjeannine@wanadoo.fr,France,M,3,15.03981651759072,0
346,Gautier,jeannineweiss@wanadoo.fr,Belgium,M,0,9.185563190312765,0
347,Masson,marie92@ifrance.com,France,M,4,37.52917597360012,0
348,Clément,duboisgabriel@live.com,France,F,0,18.725869928508814,0
349,Mace,gprevost@tele2.fr,France,M,1,14.90289803268683,0
350,Tessier,margot73@free.fr,United Kingdom,F,4,43.56092834989906,0
351,Guilbert,valettedanielle@free.fr,Belgium,M,2,9.25849058164235,0
352,Michel,dianelejeune@sfr.fr,Belgium,F,3,7.501782948178563,0
353,Navarro,baubry@laposte.net,Belgium,F,0,13.213983856279345,0
354,Chevallier,brigittemoreno@gmail.com,Belgium,M,4,32.473504026854826,0
